year,init_date,step,lead_hours,lead_day,mse,t2m_pred_gmean_k,t2m_truth_gmean_k,t2m_rmse_k,t2m_mean_bias_k
1955,1955-01-17,14,84.0,3.5,3.80222487449646,286.5227355957031,286.47879317297054,1.9499294757843018,0.09575864672660828
1955,1955-01-17,15,90.0,3.75,3.845677375793457,286.5038146972656,286.4573341966367,1.9610399007797241,0.10213537514209747
1955,1955-01-17,16,96.0,4.0,4.150758743286133,286.27081298828125,286.1646003888693,2.0373411178588867,0.17363452911376953
1955,1955-01-17,17,102.0,4.25,4.332139492034912,286.2540283203125,286.1440203769276,2.0813791751861572,0.1589258909225464
1955,1955-01-17,18,108.0,4.5,4.534451007843018,286.5107727050781,286.52971723911986,2.129425048828125,0.029397057369351387
1955,1955-01-17,19,114.0,4.75,4.4936137199401855,286.48858642578125,286.4625513595377,2.11981463432312,0.068538598716259
1955,1955-01-17,20,120.0,5.0,4.5719733238220215,286.2565002441406,286.2018260255694,2.1382172107696533,0.09867962449789047
1955,1955-01-17,21,126.0,5.25,4.695988178253174,286.23876953125,286.1286437694363,2.167022943496704,0.14922991394996643
1955,1955-01-17,22,132.0,5.5,4.722649574279785,286.5028381347656,286.46979125807064,2.173165798187256,0.05246004834771156
1955,1955-01-17,23,138.0,5.75,4.482416152954102,286.4879455566406,286.41391799579793,2.1171717643737793,0.10001746565103531
1955,1955-01-17,24,144.0,6.0,4.501875877380371,286.2590637207031,286.1248410517719,2.12176251411438,0.17525935173034668
1955,1955-01-17,25,150.0,6.25,4.61610221862793,286.2235412597656,286.12041896837457,2.1485116481781006,0.13141673803329468
1955,1955-01-17,26,156.0,6.5,4.731141567230225,286.50872802734375,286.4189712484002,2.1751186847686768,0.1271880567073822
1955,1955-01-17,27,162.0,6.75,4.709140300750732,286.5166015625,286.4065232359704,2.170055389404297,0.15493713319301605
1955,1955-01-17,28,168.0,7.0,4.893142223358154,286.2998962402344,286.15951076674077,2.2120447158813477,0.17315858602523804
1955,1955-01-17,29,174.0,7.25,5.364630699157715,286.2640686035156,286.1165917762515,2.3161673545837402,0.16954928636550903
1955,1955-01-17,30,180.0,7.5,6.05279016494751,286.5596008300781,286.4279251289281,2.4602417945861816,0.10792288184165955
1955,1955-01-17,31,186.0,7.75,6.406701564788818,286.5650634765625,286.4042277992518,2.531146287918091,0.14280453324317932
1955,1955-01-17,32,192.0,8.0,6.959846496582031,286.3363952636719,286.1119957742869,2.6381521224975586,0.2160683572292328
1955,1955-01-17,33,198.0,8.25,7.448800086975098,286.2898254394531,286.0570223664263,2.7292490005493164,0.22450993955135345
1955,1955-01-17,34,204.0,8.5,8.137065887451172,286.5771179199219,286.3607057801623,2.8525543212890625,0.21388418972492218
1955,1955-01-17,35,210.0,8.75,8.312355995178223,286.5641784667969,286.3284363990007,2.883115768432617,0.266307532787323
1955,1955-01-17,36,216.0,9.0,8.88414192199707,286.3259582519531,286.06887094406466,2.9806277751922607,0.31783950328826904
1955,1955-01-17,37,222.0,9.25,8.968072891235352,286.267333984375,285.9992879535205,2.9946742057800293,0.33800220489501953
1955,1955-01-17,38,228.0,9.5,8.918694496154785,286.5339660644531,286.3242582366717,2.9864182472229004,0.27840548753738403
1955,1955-01-17,39,234.0,9.75,9.384841918945312,286.50213623046875,286.3162186976107,3.0634689331054688,0.2661210894584656
1955,1955-01-17,40,240.0,10.0,10.083144187927246,286.260498046875,286.02695084179356,3.175396680831909,0.3319045305252075
1955,1955-01-18,0,0.0,0.0,0.37499162554740906,286.1325378417969,286.20474327088164,0.6123656034469604,-0.054996032267808914
1955,1955-01-18,1,6.0,0.25,0.29322549700737,286.1814270019531,286.17251338803953,0.5415030121803284,0.012546566314995289
1955,1955-01-18,2,12.0,0.5,0.4869445264339447,286.45831298828125,286.4867150928056,0.6978141069412231,-0.034001756459474564
1955,1955-01-18,3,18.0,0.75,0.4867701828479767,286.4493713378906,286.4622111058149,0.6976891756057739,-0.002983724931254983
1955,1955-01-18,4,24.0,1.0,0.6516445279121399,286.21343994140625,286.1808471453506,0.8072450160980225,0.05146019160747528
1955,1955-01-18,5,30.0,1.25,0.7583944201469421,286.2052307128906,286.16641846431236,0.8708584308624268,0.04538886249065399
1955,1955-01-18,6,36.0,1.5,1.1324708461761475,286.4786682128906,286.48818912916033,1.064176082611084,-0.00790189765393734
1955,1955-01-18,7,42.0,1.75,1.1124076843261719,286.47723388671875,286.47843245448655,1.054707407951355,0.01664118282496929
1955,1955-01-18,8,48.0,2.0,1.490633487701416,286.2515869140625,286.1725346931288,1.2209150791168213,0.12065902352333069
1955,1955-01-18,9,54.0,2.25,1.7192111015319824,286.2236633300781,286.1447473233527,1.3111869096755981,0.12132761627435684
1955,1955-01-18,10,60.0,2.5,2.233114242553711,286.49664306640625,286.47879317297054,1.4943608045578003,0.04977373406291008
1955,1955-01-18,11,66.0,2.75,2.238050699234009,286.4862365722656,286.4573341966367,1.4960116147994995,0.07054891437292099
1955,1955-01-18,12,72.0,3.0,2.5361549854278564,286.256591796875,286.1646003888693,1.5925309658050537,0.1544213891029358
1955,1955-01-18,13,78.0,3.25,2.7088212966918945,286.2334899902344,286.1440203769276,1.6458497047424316,0.1457207053899765
1955,1955-01-18,14,84.0,3.5,3.012950897216797,286.48828125,286.52971723911986,1.7357853651046753,0.01017390750348568
1955,1955-01-18,15,90.0,3.75,3.086472272872925,286.4500732421875,286.4625513595377,1.7568358182907104,0.02762426808476448
1955,1955-01-18,16,96.0,4.0,3.4010610580444336,286.1915588378906,286.2018260255694,1.8441965579986572,0.027285469695925713
1955,1955-01-18,17,102.0,4.25,3.6162521839141846,286.1441650390625,286.1286437694363,1.9016445875167847,0.04988919943571091
1955,1955-01-18,18,108.0,4.5,4.183387756347656,286.39886474609375,286.46979125807064,2.04533314704895,-0.0462045893073082
1955,1955-01-18,19,114.0,4.75,4.318455219268799,286.3782653808594,286.41391799579793,2.0780892372131348,0.0056192041374742985
1955,1955-01-18,20,120.0,5.0,5.022542476654053,286.15374755859375,286.1248410517719,2.241102933883667,0.08112647384405136
